the_geom,TYPE,OBJECTID,BORO,PROVIDER,NAME,LOCATION,LAT,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID,ACTIVATED
POINT (-73.80905000017083 40.77122899977465),Limited Free,848,QU,SPECTRUM,Bowne Park,155th St between 29th Ave and 32nd Ave,40.771229,-73.80905,1037140.16258,220313.953779,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.80874799966239 40.7697510000437),Limited Free,849,QU,SPECTRUM,Bowne Park,32nd Ave between 155th and 156th St,40.769751,-73.808748,1037224.98754,219775.653018,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.80750799982962 40.76965200017256),Limited Free,850,QU,SPECTRUM,Bowne Park,32nd Ave between 155th and 156th St,40.769652,-73.807508,1037568.53443,219740.336488,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.80596799982129 40.76953600017423),Limited Free,851,QU,SPECTRUM,Bowne Park,32nd Ave between 155th and 156th St,40.769536,-73.805968,1037995.19335,219699.015048,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.80550699950203 40.77053199970091),Limited Free,852,QU,SPECTRUM,Bowne Park,159th St between 29th Ave and 32nd Ave,40.770532,-73.805507,1038122.08056,220062.173114,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.98422199978422 40.75444699980091),Limited Free,853,MN,SPECTRUM,Bryant Park,Back of library - Corner of 6th Ave by Jose Bonifacio de Andrada e Silva Monument,40.754447,-73.984222,988621.363949,214142.466122,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.99880000015601 40.69430000012529),Free,854,BK,AT&T,Brooklyn Heights Promenade,Near Montague St and Brooklyn Queens Expressway,40.6943,-73.9988,984582.765399,192228.662509,Outdoor,,Brooklyn,attwifi,,11/30/1899 12:00:00 AM +0000
POINT (-73.98309400047536 40.75431700040152),Limited Free,855,MN,SPECTRUM,Bryant Park,Back of library - 2nd St between 5th Ave and 6th Ave,40.754317,-73.983094,988933.890227,214095.161426,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.98396400023664 40.75316399959561),Limited Free,856,MN,SPECTRUM,Bryant Park,Back of library - 40th St between 5th Ave and 6th Ave,40.753164,-73.983964,988692.929422,213675.040547,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
POINT (-73.98476899963681 40.753689000019264),Limited Free,857,MN,SPECTRUM,Bryant Park,Back of library - Corner of 6th Ave by 40th St,40.753689,-73.984769,988469.863268,213866.275401,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,11/30/1899 12:00:00 AM +0000
